publishedAt,authorDisplayName,textDisplay,likeCount
2022-11-27T15:57:02Z,꧁𑁍 ℕ 𑁍꧂,"Lebih buruk orang yg jelas2 jual cream abal abal markonahh ‘ kasihan ibu hamil menyusui kalo pake cream abal2 , bodo amat ahhh dokter promosi produk dia asal aman gk masalah tohhhh !!",0
2022-11-26T10:20:38Z,Anom Yuliyanti,Ngeri ya tim karput😢 sampe segitunya,0
2022-11-26T10:15:12Z,Yenni Asmita,Dr. Richard baik sabar aja Allah tidak tidur.. Saya sang at respon sama dokter ini tujuan ny baik.. Yg trma aja yg gk baik.. Mama my benar selalu lh mntak maaf.. Sukses Ms deni. Dr. Richard...,0
2022-11-26T08:38:43Z,Randi orton,🤝🤝🤝🤝🤝🤝🤝,0
2022-11-26T05:26:00Z,mu'ammal hamidy,hidup ini ternyata g adil...,0
2022-11-26T04:23:25Z,Relaxantion Music,We love you dokter Richard... 😘😘😘😘,0
2022-11-26T03:27:59Z,GalenaLittleTurtle,"Dr Lee itu ngebantu banget sih buat org awam ky aq ya, jd tau mana skincare bagus, mana yg abal2, yg bahaya buat diri. Syukur bgt dr Lee udah diputuskan ga bersalah, krn aneh bgt dy cm ngasih edukasi buat org supaya selamat ga pake skincare abal2 malah dituntut.. Kan aneh.. Hrs nya yg jual dan iklanin barang yg berbahaya lah yg diperiksa 🤷🏻‍♀️",0
2022-11-26T00:46:28Z,demyart,Semangat dokter,0
2022-11-25T23:55:10Z,The ATeam,"Gara gara maslah ini, gw lgsng ilfil sama KP.",0
2022-11-25T21:21:12Z,Iam****locked,Tuhan memberkati dan melindungi org benar yg teraniaya. Hukum tabur tuai itu nyata. Jgn dikira jd istri habib bisa selamat dr hukum Tuhan 😌,0
2022-11-25T19:09:21Z,Saya Orang,"Parah polisi sekarang main ancam pukul aja, main culik, mana klarifikasinya pak pol ? Nama baikmu taruhannya, eh emg namanya masih baik ya ? Hehe bgst emg, notis aku dong pak pol",0
2022-11-25T19:09:01Z,Muhammad Aghni,"Dari sini kita tahu Bahwa Dr. Lee pria baik.. Dan Lawannya adalah............ Yah, jelaskan sendiri.. wkwkwkwk",0
2022-11-25T18:14:34Z,Andina Qanita Azzahra,"sudah ketebak dari awal,. banyak yg numpang d kasus ini soalny pasti bnyak para pebisnis besar dalam tanda &quot; &quot; yg sakit hati sma si dokter",0
2022-11-25T17:50:18Z,karunesh,Kalau udah bawa Tuhan ya ditunggu aja lah tangan Tuhan bekerja,0
2022-11-25T17:10:23Z,Michael Harto,"Gila ya, orang berduit aja diperlakukan begitu sama polisi.. gimana rakyat biasa?",0
2022-11-25T14:10:59Z,IKUT NONTON,KURA2 NINJA SANGAT BERBAHAYA,0
2022-11-25T13:39:47Z,Dewi Setiaku,👍👍👍,0
2022-11-25T12:57:42Z,Lord Jamet,densu loadingnya lama bener ngerespon ceritanya narasumber,0
2022-11-25T12:42:01Z,Nira Aprilia,Paling ga respek sama karput serius deh. ih,0
2022-11-25T10:53:22Z,Gi 1314,Jadi suka nonton podcast om ini di banding yang sono,0
2022-11-25T10:07:59Z,ritch,cerdas bang densu bgtu jg dokter richard 👍,0
2022-11-25T09:53:27Z,STWinarta,"G BERASA INI BUKAN PODCAST . BERASA INI CURHAT DULUAN , TERHARU MASA . HEHE .. TQ KO DEN BIKIN PODCAST INI JADI WADAH BUAT NUMPAHIN APA YANG DI RASA ,",0
2022-11-25T08:52:58Z,hadi purnama,mantan pengacaranya pasti si gendut botak ya...wkwkwkkk...dan gua pengin liat si K... P.... jadi terdakwa juga dan pernah ngerasain penjara juga,0
2022-11-25T07:56:07Z,Mita Sidabutar,Semanagat terusss dr richard lee......jangan ragukan dirimu sendiri yang sangat positif.,0
2022-11-25T07:01:13Z,Adisty Rumondor,"Adem banget nonton ini, terima masih bang densu dan dokter richard",0
2022-11-25T06:52:43Z,Yessi Afriyalisi,"Sekali nonton youtube dr richard langsung pakai cream yg direkomendasikan, alhamdulillah saya mendapatkan cream yg cocok.. terus mengedukasi masyarakat khususnya perempuan dok... Tindakanmu benar, tidak akan ada masalah.. kami ada untukmu...",0
2022-11-25T05:47:50Z,vina yunita,Karpet tunggu karma aj,0
2022-11-25T05:19:20Z,Cindy Desca Wulandari,"Baru sempet nonton, sampe geleng2 nontonnya. Parah bngt itu si perempuan ckckckck",0
2022-11-25T04:54:42Z,SJ Velasco,Kebeneran sangat mahal harga nya ..dari podcast ini saya pribadi ambil pelajaran hidup dari orang lain👌,0
2022-11-25T04:51:28Z,Siti Arisa,Doktr i love you,0
2022-11-25T04:30:11Z,Maria Maria,Aku yg sedih bgt liat dokter lee di gtuin,0
2022-11-25T04:22:17Z,Maria Maria,Bang Densu🥰❤dokter Le💪💪🥰,0
2022-11-25T03:30:13Z,imamo ima,"Semangat dok, terlepas dari apapun saya mengerti perasaan dokter,semoga kedepan hatinya lebih damai, kemarahannya lebih surut, konten review krim dokter yang dulu alhamdulillah sangat membantu.",0
2022-11-25T01:11:46Z,Nirmala 21,Ngeri orang bilang kebenaran malah dipenjara,0
2022-11-24T23:06:46Z,Jo Jojo,Makin.Rusak nama polisi<br>...,0
2022-11-24T19:15:03Z,Saepul Ragil,Kalo cinta kasih sayang nya toxic gimana dok,0
2022-11-24T18:01:10Z,N E V E R M O R E,"Memang ketika masalah yang Dateng yg lain pasti tutup mata sekalipun kita benar , tapi tetaplah mengungkapkan kebenaran biar Tuhan yg bela .",1
2022-11-24T17:58:28Z,Gabriel evano,jd inget dr lois...respect dr.richard,1
2022-11-24T17:57:32Z,Sarah Priscilla,"TUHAN tdk pernah salah mengijinkan masalah terjadi dlm hdup kita,tdk pernah salah mengijinkan org2 yg dtg menguji dan mengasah kita utk jd pribadi yg lbh baik,bagian kita hanya ttp beriman dlm proses yg ada bahwa segala sesuatu yg disediakan TUHAN baik bagi kita,kuk yg kita pikul ringan krn TUHAN sdh lbh dlu memikul beban kita...",0
2022-11-24T17:32:23Z,Fenni Amilia,Semangat dr. Richard lee teruslah mengedukasi masyarakat indonesia ❤,0
2022-11-24T15:56:39Z,budak emak,"Dokter semangat untuk mereview lgi mengedukasi untuk para wanita Indonesia,klo dokter berenti review itu kemenangan untuk mereka penjual kosmetik abal...",0
2022-11-24T14:50:11Z,The Aphrodite,"Episode kali ini seru bgt, sampe nyiapin toast 😂",0
2022-11-24T13:38:34Z,Sere Khrisma,Nama dokter Richard ga jelek sama sekali kok. Semangat terus memberikan edukasi kepada pecinta skincare di Indonesia ini dokter.,0
2022-11-24T12:31:35Z,lili,Zolim bgt si KP ap dia g tkt karma y udh zolim SPT ini SM orang.,0
2022-11-24T12:10:34Z,LIA SELIA,Padahal,0
2022-11-24T12:09:59Z,LIA SELIA,Assalamualaikum kak kak kenapa paketnya kakak artis semua kenapa kek kami orang biasa yang punya banyak masalah aturan kami sering juga katakan biar dunia tahu orang biasa,0
2022-11-24T12:07:53Z,Si Mbok Dewor,Kok densu gk kyk biasanya,0
2022-11-24T12:03:40Z,Maya Hidayah,Aku takutnya dgn ini muncul arogansi pada diri dokter dan lupa dgn jati dirinya,0
2022-11-24T12:00:37Z,Putri Aliyah,"Ketika dr menolong org yg bisa move on dr cream abal² dan ketika itu juga Tuhan Nya menolong jd semua kebaikan pasti ada balesan nya,,",0
2022-11-24T11:57:11Z,My Name is Maria,"Mohon maaf bang densu, menurut sy pribadi, kasus bang densu dan dr.lee casenya ada beda meski serupa ya.<br>Kalau bang densu kan ya tercemar namanya tp ga sampai ngerasain di penjara, sementara kalau dr.lee itu sampai dipenjara, menurut sy pribadi pasti traumanya lebih berat, karena untuk seorang dokter ya kalau dipenjara tu gimana ya kaya ngelakuin kejahatan apa gitu. Dan penjara tuh engga banget deh, sy masyarakat biasa aja, amit2 bgt.",0
2022-11-24T11:48:02Z,banyakan kkg,"Kartiko put, dengerin gw. Nama lo jelek bukan karena review. Nama lo jelek karena jahatin orang. Kita black list nama lo jika lo lanjutin.... Norak. Kekanan kanakan. Nikah sama habib gak bikin lo baik malah songong.",1
2022-11-24T11:45:34Z,banyakan kkg,Om deddy g mungkin marah kali dok krn begitu aja. Dia sibuk sm diri sendiri...,0
2022-11-24T11:45:10Z,Monica Valentine,"Sumpah gua salut bgt sama dokter ini, di hajar habis2an nama baik nya sama perempuan itu<br>Semagat dok💪",0
2022-11-24T11:34:41Z,banyakan kkg,Mature sih,0
2022-11-24T11:28:55Z,banyakan kkg,"Dia ni cendekia, densu. Otak dia bertugas ngasih tahu itu bhy atau gk. G ada urusannya ma profit.",0
2022-11-24T11:27:21Z,Olivepurple,Dalam kasus ini kita blajar pnya uang tp klo g pnya koneksi sama aja goal k dlm,0
2022-11-24T11:26:55Z,banyakan kkg,Aku g beli skincare sembarangan. 1 merek reputable cukup buatku.,0
2022-11-24T11:02:54Z,banyakan kkg,"Hahaha gw seneng bgt dia bs menikmati hidup dan hargai orang: skincarean, baik sama kangncopet, sama penjaga yg keluarin &quot;dr richard... Mau keluar gak? &quot;",0
2022-11-24T10:55:38Z,Yustina Finanti,"Ya Tuhan, sakit dengernya🥹",0
2022-11-24T10:45:07Z,banyakan kkg,Orang jahat memang akan selalu jahat. Jgn ucapkan kebenaran pd mereka. Mrk akan mendzolimi.,0
2022-11-24T10:36:10Z,banyakan kkg,Gw baru denger dia diculik aja... Gw bilang jahaaaat bangettttttt,0
2022-11-24T09:45:31Z,Ngapocak,Dr awal emang no respect dg kakap,0
2022-11-24T09:19:02Z,LIA SELIA,Aku nggak ingin terkenal tutup aja muka aku tapi tayangkan kisahku nggak usah bayar aku karena aku ingin orang semua tahu kisahku 12 tahun sangat menarik,0
2022-11-24T09:14:43Z,LIA SELIA,Kalau kakak bisa mengangkat kasus orang besar kenapa kakak nggak angkat kasus anak Aceh yang sangat bodoh tolong aku kak aku ingin curhat kakak kalau takut aku ngetop tutup muka aku pake topeng tapi ingin kisah itu semua orang tahu kak aku mohon kak aku mohon bahkan aku diingat untuk balas dendam sampai berencana ingin sekali mempunyai suamiku sama diriku sendiri,0
2022-11-24T08:11:32Z,Sari Vania,"Aku mendukungmu dokter , aku bisa melihat ketulusan ada pada dirimu. Bang densu trimakasih podcast yg bermanfaat 💪🏻",4
2022-11-24T08:06:01Z,carollyn yudhanti,Bener kak densu. Percuma ladeni orang yg gak bakal ngerti dia salah. Cukup la dokter Lee yg waras ngalah dok. Kito nih jgn buyan gawe wong buyan akal. Kasihan aku sm kau dok ngeladeni betino dak berenti jawab.,0
2022-11-24T07:43:07Z,Ellen Bluebell,"Gampang ngmg mah,selalu bawakan Tuhan,tp giliran rame manggil Ragil manggil Denise d panggil,giliran g PD d tayangin ikt g tayangi,katany wadah untuk membicarakan unek2",0
2022-11-24T07:07:38Z,Nugroho Widodo,"Setelah tau tujuan bang Densu menciptakan platform ini, saya langsung subscribe 😁",0
2022-11-24T07:00:07Z,Nugroho Widodo,Betul!!! Love is more important!!! 😭,0
2022-11-24T05:47:13Z,cha nisa,sebaik2nya muslim adalah yg dapat memaafkan.,0
2022-11-24T05:37:43Z,Nisa Fahrun,"ngerti perasaan dokter pasti akan teringat terus kejadian ini meskipun udah memaafkan, ga respect sama sekali sama <br>kartika",0
2022-11-24T04:47:44Z,sunny go,bib bib bib bib bib,0
2022-11-24T04:41:05Z,fandy isman,"sudah tau kan orang2nya yg mana ?? trus keadilan bs aja hilang karena uang .. ya begitulah indonesia ,yg terlihat baik belom tentu baik ,yg bener2 baik malah &quot;dihilangkan&quot;",0
2022-11-24T04:33:21Z,Rima Espresso,"Orang baik, sehat selalu, tetap berhati baik, semogaa banyak jalan kebaikan kedepannyaaa",0
2022-11-24T04:29:03Z,Iban Icis,Yg menjarain dokter richard smoga cpt dapat karmanya. 🙏🏻,0
2022-11-24T04:10:31Z,Reno 46XY,Bang Denny... loe tanya gimana dipenjara sama dr. Richard... kan kemarin main film jadi petugas pemasyarakatan... hihihi,0
2022-11-24T04:01:05Z,mohamad ibrahim abraham,"Dari awal saya yakin Dr Richard gak salah dan pasti bebas,,karput Dy tau Dy salah tapi Dy ego dan Malu jadi Dy cari segala cara untuk tidak malu",0
2022-11-24T03:04:47Z,Yanti Violin,Gue dukung dr. Richard sih,0
2022-11-24T02:44:20Z,T-Co,ini nih yg gwa nga suka ......................... belum selesai di cut........................,0
2022-11-24T02:32:58Z,swardhani,Gemes gw denger podcast ini. Semoga yang dzalim dapet balasan yang lebih pedih.,1
2022-11-24T02:15:33Z,anggia meyta,Banggaa🤗,0
2022-11-24T01:56:27Z,Zahwa Amanda,Karput....berani minta maaf..kan istri ya habib...ktnya harus saling memaafkan,0
2022-11-24T01:34:33Z,Apensius,KP psycopat juga yee ternyata wkwkwk,0
2022-11-24T01:32:44Z,nicho hermanto,Kasus sambo ap kabar? Kasus kebaya merah aja cpt ketangkap. Ini ud bener masih d salahin. Malah memihak yg bayar 😂😂😂😂,0
2022-11-23T19:23:02Z,Kintanul,"Edukasi dan info riview dari dr. Richard itu ngebantu bangetlohh😢😢 <br>karna itu menolong banyak orang dari bahaya nya efek samping dari produk abal abal dan penyakit kulit atau kanker kulit👍🏻👍🏻👍🏻 dan orang” biasa kayak kami, jdi tauu loh bg densu yg mana yg sehat dan aman untuk kulit kamiii!!!!!!!",1
2022-11-23T18:37:57Z,Kosral Official,"Si karpet mulutnya suka nyinyir sok bener, gua bukan fans dokter ricat tp dri kasus ini jd tau sifat si karpett nauzubillah.. tuntut balik aja si karpettttt biar ga banyak tingkah lg",1
2022-11-23T18:32:05Z,IBNU,Podcast terbaik,1
2022-11-23T18:11:19Z,Mie Instan,"BANG, VIDEONYA LU PODCAST SAMA KARPUT DIHAPUS YA ?",0
2022-11-23T17:34:29Z,Siti Rochani,"Subhanallah Masya Allah Allahu Akbar 2 orang ini super tulus dan baik hati,, gue ga bs ngmng apa² hanya bs mendoakan saja saking gue bangga nya dgn 2 orang ini 🥰😍🤍🤍🤍",0
2022-11-23T17:11:13Z,Burjud Gaming,Goks lu ter,0
2022-11-23T17:04:05Z,Beritahot,"DOKTER RICHARD ADALAH SAYA !!! GUA SETUJU BANGET SMA LO DR RICHARD, DAN MNRUT GUE DENI TERLALU NAIF",0
2022-11-23T16:33:06Z,nisa geg,Jadi berfikir siapa sih yg pakai orang dalam ini dan tuduh siapa tunjuk siapa wow keren ????... Wow keren bgt fitnah nya. Semoga Allah memberikan hukuman setimpal bagi yang orang yang bermain-main kebenaran.,0
2022-11-23T16:24:51Z,Aung Azis,Maafkan KP jangan maafkan kelakuannya...,0
2022-11-23T15:59:25Z,Luthfi Abdurrahim,semangat dok!!!!!!!,0
2022-11-23T15:04:02Z,Andi Wibawa,Habib nya dukung si karput...jadi istri makin menjadi.,0
2022-11-23T14:37:58Z,LIRIK LAGU INDO,LEBIH SUKA PODCAST CURHAT BANG si dibanding PODCAST LAIN ! 👍,0
2022-11-23T14:28:08Z,Alfian Noor,Cerdas mah deny pertanyaan&quot;nya<br>Salut👍👍👍,0
2022-11-23T14:10:50Z,ceceupry Alisa,Semoga dr Lee di beri kekuatan dan ketabahan,0
2022-11-23T13:29:41Z,Tatiana Givano,"Liat aja nanti kp akan dpt balasen,percuma hijrah,tp hatinya busuk,mana punya suami katanya h*a*b*i*b tp g bisa ngajar istri jd orang yg legowo,g dendaman",0
2022-11-23T13:24:55Z,Apriani Apri24,👏👏👏❤️,0
2022-11-23T13:03:15Z,Lina Maryanti,"Hebat bgt dokter mengungkapkan kebenaran dan jarang seorang dokter seperti ini,lanjutkan dokter 👍👍👍, yg busuk pasti akan terbongkar,buktinya Si KP udh kalah, yg lebih sedihnya lagi bahaya untuk bumil,malah keterangan d krim abak2nya aman untuk bumil. Masyaallah miris.😭",0
2022-11-23T12:52:22Z,Dani Simek,Klinik saingannya itu apa ya,0
2022-11-23T11:25:40Z,Nabillah Egiasa,"Bang Densu minta kolaborasi sama Bang Cellos Tiktokers (Artis Tiktokers konten Ekstrim Botak Terkuat di Bumi dari Bekasi, Jawa Barat) bagian konten curhat &amp; konten olahraga Basket di YouTube channel Curhat Bang Denny Sumargo, Celloszxz, &amp; Pebasket Sombong Denny Sumargo",0
2022-11-23T11:23:57Z,Asteramarylis Pink,"Ember kau Richard..lu bilang mau belajar dari densu, tapi lu tusuk dia dari belakang, ku ceritain omongan densu ke denies.",0
2022-11-23T11:10:54Z,Aby Shockwave,Kapan-Kapan ajak Windah Basudara ya bang,0
2022-11-23T11:07:10Z,Bintang ganda Fernanda,Polisi udah sok keren nangkep sampe mgebut2 eh taunya ga bersalah. hahaha malu gak malu gakk malu lah masa engga,1
2022-11-23T10:27:53Z,DIRGA PRAYA,KARTIKA PUTRI,0
2022-11-23T10:02:49Z,Khoirun Nisa,Kayak gitu punya,0
2022-11-23T09:01:27Z,Melvina Mutiara,Dy minta maaf kita pun jg bkal ngrasa dy bs pny kerendahan hati....,0
2022-11-23T08:58:11Z,Melvina Mutiara,Ini baru pny kedamaian.... d balas dgn kebaikan....,0
2022-11-23T08:16:11Z,Suares Siahaan,"Menit <a href=""https://www.youtube.com/watch?v=mve26ZiedmA&amp;t=1h05m50s"">1:05:50</a> gua dengar sang doktor sampai minta tolong ke habib ( suami ) untuk mendamaikan tapi tidak bisa mendamaikan? Gua baru tau kalau <b>***</b> begitu 😔😔<br><br><a href=""http://www.youtube.com/results?search_query=%23pin"">#pin</a>",1
2022-11-23T06:44:45Z,Indah Puspita,"Yaaa dari awal juga pirasat aku dokter Richard pasti banyak banget yg gak suka sama kesuksesan dia, dan otomatis pada seneng dengan keadaan yg tersebut, bahkan kasus ini heboh banget udah kaya kasus pembunuhan",0
2022-11-23T05:57:48Z,putri nasir,BERKAT DOKTER ORG ORG DISEKITAR SAYA MUKANYA UDAH GAK KERACUNAN SKINCARE ABAL ABAL LAGI!,1
2022-11-23T05:57:10Z,putri nasir,SEHAT TERUS DOKTER MAJU TERUS DOKTER! GOD BLESS YOU,1
